epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1397.8,1.65257,1.7067,1.50656,0.67292,0.53956,0.61132,0.29939,1.73613,1.60984,1.63766,0.00999817,0.00333272,0.00999817,0.00333272,0.00999817,0.00333272,0.00999817,0.00333272
2,2603.61,1.68178,1.61726,1.53131,0.71142,0.57119,0.66127,0.33969,1.68618,1.44591,1.59171,0.0195032,0.00650107,0.0195032,0.00650107,0.0195032,0.00650107,0.0195032,0.00650107
3,3762.11,1.73215,1.72291,1.59274,0.71413,0.5732,0.67135,0.34583,1.66408,1.47208,1.60522,0.0285133,0.00950442,0.0285133,0.00950442,0.0285133,0.00950442,0.0285133,0.00950442
4,4907.87,1.70301,1.66521,1.58279,0.74228,0.61056,0.71764,0.38402,1.5946,1.3332,1.54062,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,6053.35,1.61587,1.50308,1.52356,0.76028,0.63343,0.73903,0.40662,1.53505,1.2731,1.51179,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,7198.54,1.56255,1.4021,1.48414,0.76439,0.6428,0.74658,0.42432,1.49344,1.23482,1.48657,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,8343.75,1.52022,1.33148,1.4566,0.75837,0.69083,0.77615,0.44623,1.48484,1.13732,1.46092,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,9489.32,1.48831,1.27672,1.43179,0.78893,0.68326,0.78772,0.45596,1.4497,1.11007,1.43637,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,10634.4,1.45897,1.23162,1.41095,0.78904,0.69936,0.79825,0.46279,1.44254,1.06573,1.43416,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,11779.8,1.43562,1.18791,1.3918,0.77058,0.71895,0.80164,0.47087,1.43083,1.04681,1.41573,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,12925.4,1.4156,1.15495,1.38004,0.79284,0.71243,0.81093,0.47965,1.42364,1.02751,1.41856,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,14070.8,1.39764,1.12458,1.36519,0.79591,0.71851,0.81762,0.48509,1.41724,0.99142,1.41692,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,15216.7,1.37835,1.10277,1.35248,0.79101,0.72965,0.81917,0.48687,1.40768,0.98843,1.40629,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,16361.7,1.35805,1.07004,1.34093,0.79451,0.72747,0.82043,0.49261,1.39873,0.97004,1.4041,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,17507.2,1.34327,1.04645,1.32947,0.81774,0.7285,0.82646,0.49632,1.40148,0.95898,1.40352,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,18652.9,1.31994,1.02086,1.31387,0.81926,0.7194,0.82693,0.4977,1.39788,0.95703,1.40032,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,19797.6,1.30592,0.99492,1.30599,0.8195,0.72374,0.82741,0.49966,1.39207,0.94957,1.39846,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,20942.9,1.29019,0.9809,1.29884,0.82588,0.72908,0.82964,0.50178,1.39101,0.93923,1.39892,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,22088.4,1.2755,0.95677,1.28369,0.82871,0.72951,0.83174,0.50267,1.39045,0.93391,1.39871,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,23233.7,1.26161,0.93514,1.27602,0.82747,0.72774,0.83117,0.50396,1.39145,0.92957,1.40069,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,24379.3,1.24153,0.91358,1.26217,0.82255,0.72935,0.82987,0.5044,1.39008,0.92742,1.4007,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,25524.9,1.22606,0.89887,1.25339,0.81801,0.73311,0.83086,0.50575,1.38944,0.92311,1.40052,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,26670.1,1.21611,0.88225,1.24647,0.83551,0.72323,0.83231,0.50773,1.38882,0.91787,1.40195,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,27815.7,1.19796,0.85946,1.23478,0.83774,0.72072,0.83146,0.50709,1.38887,0.91343,1.4031,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,28960.6,1.18056,0.8428,1.22349,0.80525,0.75064,0.83321,0.50732,1.3884,0.90924,1.40299,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,30105.9,1.16556,0.81762,1.21489,0.80953,0.74849,0.83417,0.50663,1.3888,0.90761,1.40355,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,31251.3,1.14936,0.80232,1.20202,0.81501,0.74511,0.83258,0.50769,1.38939,0.90546,1.40409,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,32396.3,1.13403,0.78611,1.19273,0.82111,0.74115,0.83237,0.50836,1.39035,0.90244,1.40472,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,33541.7,1.11581,0.7617,1.17869,0.82082,0.74576,0.83306,0.50833,1.39066,0.89881,1.4048,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,34687,1.09871,0.74392,1.16862,0.82133,0.74789,0.83523,0.50886,1.39105,0.89557,1.40494,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,35831.9,1.06856,0.63808,1.15612,0.82227,0.74895,0.83625,0.50964,1.39253,0.89124,1.40732,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,36976.6,1.03969,0.60585,1.13723,0.82418,0.75255,0.83646,0.50935,1.39307,0.88832,1.40832,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,38120.8,1.01479,0.58499,1.12352,0.82362,0.75475,0.83641,0.51018,1.39454,0.887,1.41092,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,39265.3,0.99046,0.56323,1.10868,0.82466,0.75628,0.83688,0.51125,1.39617,0.88542,1.41316,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,40409.9,0.96428,0.54129,1.09495,0.8265,0.75835,0.83792,0.51165,1.39788,0.88221,1.41521,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,41554.8,0.94566,0.5278,1.08101,0.83017,0.75867,0.83861,0.51128,1.39813,0.88149,1.41661,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,42699.8,0.92022,0.50737,1.06478,0.83705,0.75674,0.83819,0.5116,1.39937,0.87915,1.41821,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,43844.5,0.90123,0.49036,1.05273,0.84001,0.75437,0.83829,0.5115,1.40206,0.87708,1.42131,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
