epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,442.716,1.69153,2.1928,1.48146,0.67612,0.54156,0.62405,0.31269,1.68629,1.54469,1.48998,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211
2,798.806,1.678,1.65345,1.46279,0.67515,0.5241,0.59521,0.29196,1.74177,1.58983,1.54925,0.0195014,0.00650048,0.0195014,0.00650048,0.0195014,0.00650048,0.0195014,0.00650048
3,1127.67,1.72889,1.69111,1.51572,0.68336,0.53853,0.63181,0.3196,1.71167,1.55613,1.54999,0.0285115,0.00950384,0.0285115,0.00950384,0.0285115,0.00950384,0.0285115,0.00950384
4,1447.01,1.71519,1.65138,1.5268,0.69823,0.60926,0.68342,0.35805,1.65222,1.38191,1.5294,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,1766.4,1.64486,1.51101,1.47694,0.74122,0.63707,0.72433,0.38471,1.59576,1.29309,1.47516,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,2085.7,1.59853,1.43142,1.44417,0.73722,0.63388,0.73239,0.40139,1.55105,1.27139,1.44885,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,2404.83,1.56719,1.37489,1.42173,0.77949,0.64873,0.75091,0.41817,1.53354,1.20459,1.41392,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,2724.13,1.53771,1.32761,1.39809,0.7767,0.65453,0.75804,0.42707,1.50959,1.17882,1.39688,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,3043.37,1.52247,1.30351,1.3878,0.77058,0.6904,0.77918,0.44334,1.48594,1.1309,1.38873,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,3362.74,1.50644,1.27018,1.37399,0.76268,0.6879,0.77943,0.44488,1.48512,1.1188,1.3831,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,3681.88,1.48957,1.24149,1.36308,0.79304,0.68528,0.79132,0.45496,1.46316,1.09243,1.36719,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,4001.08,1.47438,1.21737,1.35244,0.7864,0.70775,0.80004,0.45939,1.46541,1.06563,1.36865,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,4320.24,1.46562,1.20466,1.34502,0.795,0.70768,0.80255,0.46521,1.44288,1.05158,1.34827,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,4639.59,1.44611,1.18254,1.33706,0.775,0.72212,0.80507,0.46864,1.43771,1.03933,1.34102,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,4958.93,1.43655,1.16067,1.32318,0.79035,0.70876,0.80602,0.47267,1.42613,1.03215,1.33674,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,5278.25,1.42822,1.1468,1.31712,0.7905,0.71305,0.8103,0.4761,1.42119,1.0221,1.33024,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,5597.7,1.41823,1.1261,1.3077,0.80889,0.7087,0.81199,0.47927,1.4179,1.01577,1.32374,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,5916.99,1.40766,1.11034,1.30135,0.80582,0.72356,0.815,0.48204,1.41048,1.00455,1.31831,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,6236.12,1.39485,1.08706,1.29179,0.80562,0.72252,0.81534,0.48264,1.41101,0.99858,1.31884,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,6556.13,1.38668,1.07767,1.28727,0.80811,0.73031,0.81811,0.48402,1.40926,0.99108,1.31671,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,6875.09,1.38305,1.07024,1.28585,0.80011,0.73078,0.81901,0.48542,1.40992,0.98936,1.31676,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,7193.9,1.36795,1.05788,1.27299,0.80029,0.73497,0.82042,0.48604,1.41052,0.98693,1.31547,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,7513.09,1.35484,1.03893,1.26492,0.79622,0.73659,0.82182,0.48671,1.40946,0.98395,1.31406,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,7832.43,1.35533,1.02877,1.26195,0.80161,0.73477,0.82392,0.48716,1.40968,0.97904,1.31261,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,8150.87,1.3412,1.00943,1.25351,0.81413,0.72768,0.82436,0.48793,1.40722,0.97606,1.30992,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,8469.33,1.32938,0.99592,1.24533,0.8142,0.72898,0.82483,0.48856,1.40608,0.97313,1.30778,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,8788.01,1.32003,0.97589,1.23939,0.81949,0.7265,0.8256,0.48967,1.40507,0.97058,1.30687,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,9106.84,1.31168,0.97032,1.23251,0.81762,0.72897,0.82492,0.49045,1.40564,0.96722,1.30636,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,9425.68,1.30331,0.96014,1.22796,0.82596,0.72204,0.82565,0.491,1.40471,0.96574,1.30534,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,9744.54,1.29187,0.94369,1.22233,0.81702,0.72538,0.82549,0.49067,1.40426,0.96267,1.30445,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,10061.6,1.28166,0.84146,1.22323,0.81772,0.72448,0.82548,0.492,1.40402,0.9607,1.30382,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,10378.1,1.25793,0.80603,1.20443,0.82002,0.72639,0.82749,0.49318,1.40335,0.95683,1.30347,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,332.677,1.27922,0.92946,1.21928,0.82089,0.72478,0.82696,0.4935,1.40327,0.95561,1.30333,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,651.571,1.27749,0.92185,1.21396,0.81963,0.72467,0.82655,0.49344,1.40263,0.9557,1.30283,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,970.4,1.26502,0.91248,1.2086,0.81828,0.72604,0.82617,0.49313,1.40269,0.95378,1.303,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,1289.34,1.25515,0.89782,1.20021,0.81933,0.72597,0.82636,0.49371,1.40301,0.95281,1.30296,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
