epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,543.693,1.78984,2.32015,1.69162,0.67164,0.53261,0.60997,0.29542,1.7192,1.63842,1.65081,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211
2,968.061,1.70075,1.70782,1.54286,0.66754,0.54311,0.62455,0.30007,1.75202,1.5866,1.6438,0.0195014,0.00650048,0.0195014,0.00650048,0.0195014,0.00650048,0.0195014,0.00650048
3,1348.21,1.7328,1.71993,1.56506,0.65539,0.53436,0.60786,0.30107,1.75528,1.60325,1.63575,0.0285115,0.00950384,0.0285115,0.00950384,0.0285115,0.00950384,0.0285115,0.00950384
4,1712.97,1.71558,1.66787,1.55777,0.67876,0.61665,0.68815,0.36136,1.64567,1.36365,1.53266,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,2077.63,1.64493,1.52806,1.50984,0.71672,0.64122,0.71942,0.38031,1.61655,1.31065,1.51876,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,2442.35,1.60039,1.45068,1.47577,0.73369,0.64904,0.73567,0.40171,1.55194,1.27089,1.48333,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,2806.84,1.56895,1.38901,1.4507,0.75466,0.67452,0.75544,0.42277,1.52579,1.20828,1.44583,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,3171.48,1.54088,1.34395,1.42702,0.7943,0.64889,0.76723,0.42881,1.50799,1.17108,1.42398,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,3536.29,1.5242,1.31367,1.41463,0.78076,0.69797,0.78772,0.44791,1.50458,1.12202,1.42421,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,3900.87,1.50694,1.28472,1.40089,0.76111,0.69522,0.78194,0.44687,1.47527,1.10958,1.3981,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,4265.65,1.49357,1.24753,1.38738,0.79002,0.69644,0.79333,0.4554,1.46579,1.08884,1.39393,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,4630.22,1.47562,1.22244,1.37583,0.78568,0.70121,0.80034,0.46144,1.45694,1.07409,1.38224,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,4995.05,1.46927,1.2097,1.36848,0.77987,0.70452,0.79492,0.46448,1.44111,1.05899,1.36833,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,5359.83,1.45023,1.19026,1.35963,0.792,0.71077,0.80631,0.47167,1.43594,1.04028,1.36453,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,5724.6,1.4393,1.1683,1.34517,0.79963,0.72029,0.80956,0.47243,1.42898,1.02487,1.35618,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,6089.33,1.42997,1.15212,1.33713,0.7908,0.71659,0.80927,0.4757,1.42587,1.015,1.35104,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,6454.26,1.42056,1.1352,1.33126,0.796,0.7224,0.8112,0.47874,1.41841,1.00972,1.34786,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,6819.02,1.41076,1.12065,1.32352,0.80062,0.7208,0.81335,0.48135,1.41432,1.00244,1.34599,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,7183.79,1.39564,1.09434,1.31382,0.80179,0.72467,0.81739,0.4834,1.41701,0.99158,1.34659,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,7548.72,1.38926,1.0848,1.30486,0.80401,0.72719,0.81806,0.48449,1.41412,0.99335,1.34168,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,7913.47,1.38319,1.07657,1.30318,0.80173,0.72914,0.81928,0.48608,1.41082,0.99012,1.3376,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,8278.12,1.37046,1.06257,1.29609,0.81037,0.72352,0.82082,0.4888,1.4083,0.9867,1.33605,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,8642.87,1.35632,1.04293,1.28632,0.80974,0.72269,0.8226,0.48976,1.40825,0.98089,1.33565,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,9007.61,1.35509,1.03459,1.28198,0.81078,0.72261,0.82437,0.49065,1.40676,0.97752,1.3339,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,9372.2,1.34022,1.01344,1.27246,0.80916,0.72849,0.82637,0.49058,1.40506,0.97408,1.33227,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
