epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,672.826,1.65494,1.71243,1.46352,0.71034,0.57918,0.66334,0.33749,1.65032,1.36219,1.4708,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211
2,1259.64,1.63388,1.49096,1.4324,0.71692,0.59336,0.67768,0.3501,1.66274,1.34736,1.48611,0.0195014,0.00650048,0.0195014,0.00650048,0.0195014,0.00650048,0.0195014,0.00650048
3,1819.52,1.69609,1.59641,1.48996,0.73755,0.55495,0.6635,0.33741,1.71125,1.46431,1.55499,0.0285115,0.00950384,0.0285115,0.00950384,0.0285115,0.00950384,0.0285115,0.00950384
4,2369.25,1.67929,1.55895,1.49337,0.75989,0.60444,0.71237,0.37767,1.62401,1.31885,1.49471,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,2919.47,1.59919,1.41744,1.44241,0.75694,0.6364,0.74791,0.40783,1.55744,1.21519,1.4364,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,3469.35,1.55039,1.33705,1.41345,0.78005,0.65637,0.76235,0.42924,1.51716,1.18863,1.42114,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,4019.77,1.51318,1.27464,1.38662,0.76546,0.68155,0.77333,0.44132,1.4942,1.14885,1.38708,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,4569.96,1.48186,1.22459,1.36235,0.78148,0.67831,0.78579,0.44949,1.47286,1.08985,1.38325,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,5119.8,1.46286,1.19666,1.35084,0.81459,0.68414,0.79998,0.46227,1.46622,1.05515,1.37231,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,5670.76,1.43952,1.16293,1.33603,0.80249,0.6884,0.8038,0.46491,1.46247,1.04527,1.36896,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
