epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,540.171,1.78874,2.46174,1.5776,0.66323,0.53587,0.6064,0.28951,1.75475,1.60759,1.55197,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211
2,960.005,1.71971,1.77812,1.50364,0.64641,0.55265,0.6172,0.30309,1.72121,1.56522,1.55635,0.0195014,0.00650048,0.0195014,0.00650048,0.0195014,0.00650048,0.0195014,0.00650048
3,1335.23,1.74822,1.75571,1.54071,0.68539,0.56058,0.64384,0.32545,1.73579,1.52384,1.57087,0.0285115,0.00950384,0.0285115,0.00950384,0.0285115,0.00950384,0.0285115,0.00950384
4,1694.93,1.72692,1.68717,1.54089,0.71622,0.58576,0.6833,0.35592,1.65187,1.39162,1.5235,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,2054.95,1.66129,1.5553,1.49395,0.71989,0.59642,0.69292,0.37158,1.60166,1.36711,1.49891,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,2414.99,1.61567,1.47769,1.46704,0.73781,0.6222,0.72139,0.39463,1.55838,1.3067,1.45532,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,2774.95,1.58425,1.42195,1.44248,0.7598,0.63943,0.74001,0.41047,1.53704,1.24237,1.43504,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,3135.1,1.55969,1.37622,1.4222,0.7609,0.65118,0.74838,0.41668,1.51546,1.20034,1.41347,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,3494.92,1.5415,1.35068,1.41044,0.7853,0.66411,0.7658,0.43046,1.49807,1.16893,1.40674,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,3854.68,1.52424,1.32029,1.39676,0.77974,0.65862,0.76585,0.43225,1.4982,1.15864,1.40148,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,4214.7,1.50901,1.28959,1.38314,0.7859,0.68178,0.78147,0.44479,1.48242,1.12417,1.39,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,4574.48,1.49347,1.26676,1.37284,0.79339,0.67679,0.7818,0.44519,1.4803,1.11142,1.38278,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,4934.53,1.48597,1.24994,1.36646,0.78477,0.68564,0.78811,0.45348,1.46428,1.09454,1.37136,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,5294.44,1.46808,1.22828,1.35703,0.78906,0.68675,0.79346,0.45682,1.46372,1.07616,1.37221,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,5654.44,1.45879,1.20527,1.34384,0.7971,0.68483,0.79395,0.45812,1.4579,1.06628,1.36203,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,6014.37,1.4524,1.19523,1.33806,0.78701,0.69955,0.79851,0.46169,1.44831,1.06339,1.35619,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,6374.35,1.44268,1.17691,1.33036,0.78808,0.70272,0.80291,0.46803,1.43514,1.05287,1.34654,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,6733.99,1.43381,1.16532,1.32471,0.78832,0.71211,0.80389,0.47089,1.4317,1.04476,1.34262,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,7093.75,1.42177,1.14477,1.31667,0.79055,0.71278,0.80429,0.4718,1.42723,1.03857,1.34046,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,7453.8,1.41362,1.12883,1.30905,0.79783,0.70813,0.80592,0.47319,1.42291,1.03194,1.33636,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,7813.87,1.4067,1.11954,1.30778,0.79763,0.70878,0.80693,0.47489,1.42046,1.02857,1.33466,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,8173.62,1.39516,1.1083,1.29877,0.7938,0.71016,0.80864,0.47571,1.42033,1.02265,1.33391,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,8533.49,1.38448,1.09314,1.29216,0.79265,0.71453,0.8094,0.47589,1.41973,1.01746,1.3329,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,8893.34,1.3813,1.079,1.28712,0.79683,0.71269,0.80974,0.47767,1.41773,1.01254,1.33135,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,9253.15,1.36745,1.06145,1.27861,0.80226,0.71267,0.81107,0.4799,1.41701,1.00762,1.32985,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,9613.2,1.3591,1.04998,1.2706,0.80429,0.71408,0.81289,0.48148,1.41569,1.00499,1.32874,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,9973,1.34905,1.03264,1.26447,0.80845,0.71138,0.81284,0.48166,1.41491,1.00276,1.32776,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,10332.9,1.34076,1.02512,1.26052,0.80826,0.71378,0.8144,0.48231,1.41407,1.00065,1.32634,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,10692.9,1.33246,1.01211,1.25392,0.80462,0.71559,0.81513,0.48318,1.41246,0.99794,1.32475,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,11052.7,1.32362,1.00021,1.24957,0.79792,0.7193,0.81499,0.48397,1.41075,0.99604,1.32357,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,11410.1,1.32306,0.90547,1.25576,0.79753,0.71955,0.81596,0.48605,1.40946,0.99028,1.32202,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,11767.5,1.30369,0.87454,1.24075,0.80401,0.71523,0.81638,0.48704,1.40777,0.98632,1.32119,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,12124.8,1.28441,0.85505,1.23131,0.80268,0.72056,0.81832,0.48869,1.40727,0.98305,1.32034,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,12482.1,1.27198,0.8301,1.21981,0.80803,0.71895,0.81904,0.48919,1.40623,0.97994,1.31941,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,12839.6,1.25726,0.81836,1.21124,0.81455,0.71654,0.81964,0.4902,1.40603,0.97645,1.31898,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,13196.9,1.24183,0.80242,1.20419,0.82252,0.71196,0.81979,0.49085,1.40443,0.97315,1.3177,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,13554.2,1.22437,0.78407,1.1945,0.82615,0.71055,0.82017,0.49155,1.40466,0.96865,1.31696,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,13911.2,1.21048,0.76815,1.18459,0.82697,0.7104,0.82063,0.49196,1.40386,0.96598,1.31636,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,14268.3,1.19367,0.74938,1.17163,0.82428,0.71271,0.82148,0.49365,1.40333,0.96388,1.31574,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,14625.6,1.18347,0.73677,1.16853,0.82447,0.71472,0.82254,0.49468,1.40374,0.9616,1.31605,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
