epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.745,2.6886,2.60804,2.52497,0.38949,0.31242,0.28311,0.10359,2.33708,2.34351,2.30966,0.000166566,0.000166566,0.0668534
2,393.055,2.13601,2.02696,2.02906,0.57916,0.43743,0.48393,0.19779,2.08899,1.92156,2.05811,0.000324985,0.000324985,0.0336785
3,579.144,1.96321,1.80585,1.86975,0.61798,0.48465,0.54382,0.23997,1.948,1.77985,1.9185,0.000475154,0.000475154,0.000495344
4,762.436,1.87264,1.68052,1.79358,0.65079,0.52617,0.5869,0.27271,1.85972,1.64581,1.85924,0.000462875,0.000462875,0.000462875
5,947.057,1.79699,1.58799,1.73019,0.66881,0.55128,0.62371,0.29611,1.81059,1.57055,1.8213,0.0004505,0.0004505,0.0004505
6,1130.49,1.76019,1.52489,1.69691,0.70318,0.59225,0.66533,0.33677,1.73683,1.45571,1.7466,0.000438125,0.000438125,0.000438125
7,1313.63,1.72208,1.4737,1.6645,0.72235,0.60203,0.68551,0.34963,1.72728,1.41187,1.73307,0.00042575,0.00042575,0.00042575
8,1496.91,1.69853,1.43153,1.64398,0.7422,0.60199,0.69902,0.35695,1.70352,1.39593,1.71215,0.000413375,0.000413375,0.000413375
9,1680.29,1.6754,1.40634,1.6282,0.74253,0.62043,0.71132,0.36716,1.68378,1.35229,1.67883,0.000401,0.000401,0.000401
10,1863.48,1.65172,1.35981,1.60672,0.74305,0.62949,0.71528,0.37607,1.66434,1.3152,1.66399,0.000388625,0.000388625,0.000388625
11,2046.77,1.63894,1.33737,1.59188,0.76511,0.62823,0.73011,0.3863,1.64213,1.28783,1.64374,0.00037625,0.00037625,0.00037625
12,2230.09,1.61536,1.31343,1.5763,0.75686,0.64356,0.73499,0.39047,1.63235,1.28294,1.63697,0.000363875,0.000363875,0.000363875
13,2413.28,1.59859,1.29002,1.56304,0.75484,0.66359,0.74595,0.39881,1.62396,1.26477,1.62438,0.0003515,0.0003515,0.0003515
14,2596.55,1.58995,1.27463,1.55512,0.76648,0.65818,0.75063,0.40689,1.60343,1.24717,1.61025,0.000339125,0.000339125,0.000339125
15,2779.85,1.57729,1.26401,1.54437,0.79433,0.64024,0.75641,0.40953,1.60316,1.2157,1.59974,0.00032675,0.00032675,0.00032675
16,2963.19,1.56052,1.2329,1.53012,0.76858,0.66179,0.75966,0.41028,1.60881,1.19865,1.60982,0.000314375,0.000314375,0.000314375
17,3146.51,1.54953,1.22487,1.52468,0.76599,0.67864,0.76782,0.41867,1.58388,1.18949,1.59019,0.000302,0.000302,0.000302
18,3329.75,1.53581,1.20078,1.51069,0.77948,0.66685,0.76474,0.41834,1.58835,1.17562,1.58086,0.000289625,0.000289625,0.000289625
